Id,StazioneMeteo,DataRilevamento,DataAggiornamento,TemperaturaMin,TemperaturaMax,PioggiaGiornaliera,Stato,FonteDati
1,Il Ceppo Rifugio,14/08/2026 23:54:02,14/08/2026 23:45,16.0,29.2,N/D,online,CaputFrigoris
2,Prati Di Tivo,14/08/2026 23:54:02,14/08/2026 23:45,14.5,24.1,N/D,online,CaputFrigoris
3,Castel del Monte - Loc. Pietrattina,14/08/2026 23:58:02,14/08/2026 23:45:00,4.3,23.2,0.0,online,MeteoAquilano
4,Villa Celiera,14/08/2026 23:54:02,14/08/2026 23:45,21.3,31.0,N/D,online,CaputFrigoris
5,Pratola Peligna,14/08/2026 23:52:02,14/08/2026 23:50,14.6,35.1,0.0,online,ChietiMeteo
6,Rocca di Mezzo Loc. Rovere,14/08/2026 23:54:02,14/08/2026 23:45,12.0,26.7,N/D,online,CaputFrigoris
7,Rocca di Mezzo,14/08/2026 23:56:02,14/08/2026 21:44,7.9,26.6,0.0,online,MeteoNetwork
8,Rocca di Mezzo Loc. Fonteavignone,14/08/2026 23:54:02,14/08/2026 23:50,14.7,28.2,N/D,online,CaputFrigoris
9,Civitaretegna,14/08/2026 23:54:02,14/08/2026 23:50,11.9,31.2,N/D,online,CaputFrigoris
10,Prata d'Ansidonia,14/08/2026 23:58:02,14/08/2026 23:50,13.6,30.7,0.0,online,MeteoAquilano
11,Passo San Leonardo,14/08/2026 23:56:02,14/08/2026 21:52,16.3,24.2,0.0,online,MeteoNetwork
12,Roccacaramanico,14/08/2026 23:52:02,14/08/2026 23:49,18.5,26.6,0.0,online,ChietiMeteo
13,Campo di Giove,14/08/2026 23:52:02,14/08/2026 23:50,17.0,27.6,0.0,online,ChietiMeteo
14,Bosco di Sant'Antonio,14/08/2026 23:52:02,14/08/2026 23:50,12.8,26.0,0.0,online,ChietiMeteo
15,Palena Stazione,14/08/2026 23:52:02,14/08/2026 23:50,11.1,27.4,0.0,online,ChietiMeteo
16,Pescocostanzo Loc. Vallefura,14/08/2026 23:52:02,14/08/2026 23:49,14.1,24.0,0.0,online,ChietiMeteo
17,Roccaraso Loc. Aremogna,14/08/2026 23:58:02,14/08/2026 23:40:00,2.0,24.6,0.0,online,MeteoAquilano
18,Castel di Sangro,14/08/2026 23:52:02,14/08/2026 23:50,14.2,29.6,0.0,online,
19,San Pietro di Avellana,14/08/2026 23:56:02,14/08/2026 21:49,10.9,30.8,0.0,online,MeteoNetwork
20,Monteferrante,14/08/2026 23:54:02,14/08/2026 23:50,21.6,30.4,N/D,online,CaputFrigoris
21,Passolanciano,14/08/2026 23:52:02,14/08/2026 23:49,14.9,23.9,0.0,online,ChietiMeteo
22,Mammarosa,14/08/2026 23:52:02,14/08/2026 23:49,14.7,20.6,0.0,online,ChietiMeteo
23,Tagliacozzo Loc. Roccacerro,14/08/2026 23:56:02,14/08/2026 21:44,19.6,32.2,0.0,online,MeteoNetwork
24,Montereale - Aringo,14/08/2026 23:56:02,14/08/2026 21:48,13.1,29.8,0.0,online,MeteoNetwork
25,Oricola Loc. Pezzetaglie,14/08/2026 23:56:02,14/08/2026 21:49,12.4,36.0,0.0,online,MeteoNetwork
26,Rocca di Mezzo Loc. Terranera,14/08/2026 23:58:02,14/08/2026 23:45:00,4.6,27.8,0.0,online,MeteoAquilano
27,Lago di Campotosto,14/08/2026 23:58:02,14/08/2026 23:45:00,16.2,26.5,0.0,online,MeteoAquilano
28,Castel di Sangro - Loc. Speno,14/08/2026 23:50:02,14/08/2026 23:49,11.7,29.6,0.0,online,MeteoRegioneAbruzzo
29,Cagnano Amiterno,14/08/2026 23:58:02,14/08/2026 21:49,12.2,32.3,0.0,online,MeteoAquilano
30,Campo Felice Loc. Lentrata,14/08/2026 23:58:02,13/08/2026 21:25:00,0.0,0.0,0.0,offline,MeteoAquilano
31,Castel di Sangro 2,14/08/2026 23:52:02,14/08/2026 23:50,10.9,29.6,0.0,online,ChietiMeteo
32,Campo di Giove Loc. Guado di Coccia,14/08/2026 23:52:02,14/08/2026 23:50,14.3,21.8,0.0,online,ChietiMeteo
33,Marsia,14/08/2026 23:50:02,14/08/2026 23:45,4.1,26.6,0.3,online,MeteoRegioneAbruzzo
34,Tagliacozzo Loc. Poggetello,14/08/2026 23:50:02,14/08/2026 23:45,10.9,33.8,0.3,online,MeteoRegioneAbruzzo
35,Collebrincioni,14/08/2026 23:58:02,14/08/2026 23:52,18.1,29.3,0.0,online,MeteoAquilano
36,Campo Imperatore Loc. Prato del Bove,14/08/2026 23:50:02,14/08/2026 23:49,1.7,22.8,0.0,online,MeteoRegioneAbruzzo
37,Sella di Corno,14/08/2026 23:58:02,14/08/2026 23:45:00,15.1,30.0,0.0,online,MeteoAquilano
38,Fara San Martino,14/08/2026 23:56:02,14/08/2026 21:43,21.7,32.1,0.0,online,MeteoNetwork
39,Cappadocia,14/08/2026 23:56:02,14/08/2026 21:50,12.2,28.2,0.3,online,MeteoNetwork
40,Pizzoli fraz.Marruci,14/08/2026 23:56:02,14/08/2026 19:40,14.6,31.0,0.0,online,MeteoNetwork
41,Corfinio,14/08/2026 23:56:02,14/08/2026 21:48,17.1,33.7,0.0,online,MeteoNetwork
42,Campo Felice Loc. Camardosa,14/08/2026 23:58:02,14/08/2026 23:40:00,1.8,25.1,0.0,online,MeteoAquilano
43,Capitignano,14/08/2026 23:58:02,14/08/2026 21:50,11.4,31.4,0.3,online,MeteoAquilano
44,Piano delle 5 Miglia,14/08/2026 23:54:02,14/08/2026 23:45,10.6,27.2,0.0,online,CaputFrigoris
