NomeScript,OraEsecuzione,NumeroStazioniTabella,NumeroStazioniEstratte,NumeroOnline,NumeroOffline
estrazioni_abruzzo.py,12/08/2026 23:50:02,4,4,4,0
estrazioni_chieti.py,12/08/2026 23:52:02,11,11,9,2
estrazioni_caput.py,12/08/2026 23:54:02,7,7,6,1
estrazioni_network.py,12/08/2026 23:56:02,10,10,10,0
estrazioni_aquilano.py,12/08/2026 23:58:02,11,11,11,0
estrazioni_abruzzo.py,13/08/2026 18:02:09,4,4,4,0
estrazioni_aquilano.py,13/08/2026 18:02:24,11,11,11,0
estrazioni_caput.py,13/08/2026 18:02:56,8,8,8,0
estrazioni_chieti.py,13/08/2026 18:03:06,11,11,10,1
estrazioni_network.py,13/08/2026 18:03:18,10,10,10,0
