id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
boletus-edulis,0,0,0,20,33,47,60,73,87,100,100,100,92,84,77,69,61,53,46,38,30,25,20,10,0
boletus-aestivalis,0,0,0,20,47,73,100,100,100,100,91,82,74,65,56,48,39,30,25,20,10,0,0,0,0
boletus-aereus,0,0,0,0,20,60,100,100,100,100,91,82,74,65,56,48,39,30,25,20,10,0,0,0,0
agaricus-campestris,0,20,47,73,100,100,100,90,80,70,60,50,40,30,25,20,10,0,0,0,0,0,0,0,0
agaricus-arvensis,0,20,47,73,100,100,100,100,90,80,70,60,50,40,30,25,20,10,0,0,0,0,0,0,0
macrolepiota-procera,0,0,20,47,73,100,100,100,100,92,84,77,69,61,53,46,38,30,25,20,10,0,0,0,0
cantharellus-cibarius,0,0,0,20,40,60,80,100,100,100,100,92,84,77,69,61,53,46,38,30,25,20,10,0,0
tricholoma-terreum,0,0,20,40,60,80,100,100,100,100,91,82,74,65,56,48,39,30,25,20,10,0,0,0,0
russula-cyanoxantha,0,0,20,47,73,100,100,100,100,91,82,74,65,56,48,39,30,25,20,10,0,0,0,0,0
russula-virescens,0,0,20,47,73,100,100,100,100,91,82,74,65,56,48,39,30,25,20,10,0,0,0,0,0
lactarius-deliciosus,0,0,20,40,60,80,100,100,100,100,92,84,77,69,61,53,46,38,30,25,20,10,0,0,0
lycoperdon-perlatum,0,0,20,47,73,100,100,100,100,88,77,65,53,42,30,25,20,10,0,0,0,0,0,0,0
